# Timer data started: Tue Apr  6 10:53:34 2021
# timer(10 ns), starts, total starts, total stops
156, 67, 67, 1
352, 70, 137, 2
339, 168, 305, 3
306, 7, 312, 4
79, 83, 395, 5
376, 273, 668, 6
73, 561, 1229, 7
42, 57, 1286, 8
17, 271, 1557, 9
1399, 803, 2360, 10
172, 128, 2488, 11
371, 44, 2532, 12
73, 101, 2633, 13
2473, 70, 2703, 14
234, 253, 2956, 15
176, 22, 2978, 16
52, 225, 3203, 17
2396, 266, 3469, 18
19, 246, 3715, 19
320, 30, 3745, 20
2277, 202, 3947, 21
206, 383, 4330, 22
30, 201, 4531, 23
59, 186, 4717, 24
110, 47, 4764, 25
335, 529, 5293, 26
3508, 75, 5368, 27
821, 27, 5395, 28
50, 104, 5499, 29
425, 270, 5769, 30
183, 60, 5829, 31
83, 466, 6295, 32
151, 52, 6347, 33
2497, 14, 6361, 34
12, 899, 7260, 35
2988, 246, 7506, 36
27, 141, 7647, 37
92, 264, 7911, 38
1369, 24, 7935, 39
316, 682, 8617, 40
15, 123, 8740, 41
370, 40, 8780, 42
568, 737, 9517, 43
1563, 53, 9570, 44
65, 151, 9721, 45
182, 127, 9848, 46
3098, 12, 9860, 47
3477, 211, 10071, 48
325, 209, 10280, 49
1022, 347, 10627, 50
633, 45, 10672, 51
783, 243, 10915, 52
36, 132, 11047, 53
552, 218, 11265, 54
2949, 189, 11454, 55
3654, 174, 11628, 56
1224, 11, 11639, 57
3677, 322, 11961, 58
153, 117, 12078, 59
2865, 30, 12108, 60
54, 163, 12271, 61
2733, 304, 12575, 62
78, 26, 12601, 63
36, 564, 13165, 64
63, 106, 13271, 65
180, 541, 13812, 66
2880, 513, 14325, 67
3552, 1023, 15348, 68
75, 127, 15475, 69
23, 737, 16212, 70
383, 320, 16532, 71
3932, 66, 16598, 72
133, 689, 17287, 73
22, 488, 17775, 74
45, 236, 18011, 75
410, 271, 18282, 76
98, 89, 18371, 77
409, 96, 18467, 78
826, 134, 18601, 79
460, 95, 18696, 80
248, 94, 18790, 81
264, 10, 18800, 82
75, 1639, 20439, 83
37, 150, 20589, 84
20, 79, 20668, 85
313, 180, 20848, 86
109, 201, 21049, 87
3637, 59, 21108, 88
3435, 247, 21355, 89
158, 256, 21611, 90
43, 189, 21800, 91
14, 164, 21964, 92
75, 415, 22379, 93
79, 367, 22746, 94
3243, 150, 22896, 95
97, 59, 22955, 96
330, 314, 23269, 97
46, 11, 23280, 98
399, 137, 23417, 99
474, 511, 23928, 100
39, 97, 24025, 101
185, 848, 24873, 102
272, 679, 25552, 103
78, 110, 25662, 104
53, 31, 25693, 105
114, 22, 25715, 106
38, 275, 25990, 107
415, 125, 26115, 108
240, 108, 26223, 109
90, 221, 26444, 110
3848, 71, 26515, 111
164, 260, 26775, 112
245, 31, 26806, 113
103, 1086, 27892, 114
57, 276, 28168, 115
531, 30, 28198, 116
337, 920, 29118, 117
89, 328, 29446, 118
224, 306, 29752, 119
2749, 85, 29837, 120
2193, 351, 30188, 121
91, 15, 30203, 122
427, 345, 30548, 123
56, 236, 30784, 124
895, 388, 31172, 125
55, 462, 31634, 126
75, 27, 31661, 127
1676, 128, 31789, 128
2062, 184, 31973, 129
3789, 41, 32014, 130
419, 28, 32042, 131
318, 123, 32165, 132
4082, 243, 32408, 133
40, 7, 32415, 134
47, 400, 32815, 135
77, 427, 33242, 136
479, 106, 33348, 137
15, 216, 33564, 138
129, 3, 33567, 139
110, 283, 33850, 140
351, 176, 34026, 141
537, 410, 34436, 142
3590, 124, 34560, 143
112, 277, 34837, 144
3693, 54, 34891, 145
35, 129, 35020, 146
18, 123, 35143, 147
410, 141, 35284, 148
194, 123, 35407, 149
605, 105, 35512, 150
455, 514, 36026, 151
3873, 42, 36068, 152
92, 180, 36248, 153
430, 49, 36297, 154
368, 439, 36736, 155
3846, 759, 37495, 156
447, 194, 37689, 157
40, 21, 37710, 158
396, 1, 37711, 159
1004, 103, 37814, 160
387, 95, 37909, 161
59, 861, 38770, 162
94, 724, 39494, 163
436, 266, 39760, 164
113, 139, 39899, 165
258, 617, 40516, 166
650, 14, 40530, 167
3978, 263, 40793, 168
2694, 164, 40957, 169
3586, 134, 41091, 170
166, 14, 41105, 171
55, 24, 41129, 172
45, 2, 41131, 173
3640, 89, 41220, 174
2789, 83, 41303, 175
45, 41, 41344, 176
208, 607, 41951, 177
471, 81, 42032, 178
3714, 234, 42266, 179
169, 62, 42328, 180
151, 14, 42342, 181
405, 566, 42908, 182
68, 186, 43094, 183
33, 145, 43239, 184
92, 68, 43307, 185
64, 39, 43346, 186
240, 31, 43377, 187
1657, 198, 43575, 188
1320, 13, 43588, 189
3172, 58, 43646, 190
84, 156, 43802, 191
137, 292, 44094, 192
361, 147, 44241, 193
3653, 480, 44721, 194
101, 176, 44897, 195
936, 463, 45360, 196
3294, 27, 45387, 197
384, 557, 45944, 198
145, 165, 46109, 199
50, 921, 47030, 200
1008, 175, 47205, 201
819, 180, 47385, 202
3262, 219, 47604, 203
120, 93, 47697, 204
36, 861, 48558, 205
3423, 108, 48666, 206
251, 89, 48755, 207
76, 483, 49238, 208
1088, 1147, 50385, 209
3010, 376, 50761, 210
121, 813, 51574, 211
220, 156, 51730, 212
159, 81, 51811, 213
2586, 186, 51997, 214
1054, 126, 52123, 215
608, 20, 52143, 216
32, 607, 52750, 217
17, 207, 52957, 218
378, 65, 53022, 219
104, 215, 53237, 220
56, 503, 53740, 221
59, 575, 54315, 222
129, 21, 54336, 223
133, 5, 54341, 224
27, 51, 54392, 225
330, 560, 54952, 226
136, 125, 55077, 227
184, 384, 55461, 228
3640, 205, 55666, 229
82, 923, 56589, 230
183, 169, 56758, 231
64, 30, 56788, 232
1601, 60, 56848, 233
2438, 22, 56870, 234
174, 91, 56961, 235
30, 974, 57935, 236
999, 117, 58052, 237
1812, 314, 58366, 238
402, 354, 58720, 239
3682, 61, 58781, 240
372, 65, 58846, 241
313, 67, 58913, 242
43, 729, 59642, 243
219, 194, 59836, 244
