# Timer data started: Sun Apr 11 10:40:43 2021
# timer(10 ns), starts, total starts, total stops
51, 19, 19, 1
1596, 551, 570, 2
23, 743, 1313, 3
465, 235, 1548, 4
826, 810, 2358, 5
3207, 692, 3050, 6
4030, 88, 3138, 7
50, 825, 3963, 8
31, 629, 4592, 9
205, 124, 4716, 10
133, 267, 4983, 11
1440, 1065, 6048, 12
1519, 1913, 7961, 13
2245, 47, 8008, 14
999, 45, 8053, 15
971, 50, 8103, 16
1521, 307, 8410, 17
781, 180, 8590, 18
571, 413, 9003, 19
365, 37, 9040, 20
1796, 292, 9332, 21
17, 317, 9649, 22
1320, 582, 10231, 23
4038, 4474, 14705, 24
51, 505, 15210, 25
153, 1069, 16279, 26
3518, 9, 16288, 27
263, 383, 16671, 28
1008, 131, 16802, 29
117, 1236, 18038, 30
3704, 130, 18168, 31
1975, 191, 18359, 32
2993, 1632, 19991, 33
727, 1149, 21140, 34
54, 61, 21201, 35
3058, 1318, 22519, 36
3153, 678, 23197, 37
2267, 866, 24063, 38
571, 840, 24903, 39
2071, 94, 24997, 40
984, 2433, 27430, 41
3976, 233, 27663, 42
792, 376, 28039, 43
995, 175, 28214, 44
1131, 81, 28295, 45
2366, 498, 28793, 46
16, 1072, 29865, 47
124, 269, 30134, 48
3243, 894, 31028, 49
3635, 1475, 32503, 50
39, 756, 33259, 51
469, 18, 33277, 52
3251, 8, 33285, 53
909, 724, 34009, 54
3168, 4, 34013, 55
841, 740, 34753, 56
2987, 245, 34998, 57
2336, 2950, 37948, 58
215, 1841, 39789, 59
121, 134, 39923, 60
108, 478, 40401, 61
1375, 727, 41128, 62
2563, 1370, 42498, 63
45, 108, 42606, 64
65, 1293, 43899, 65
2722, 808, 44707, 66
1656, 710, 45417, 67
162, 412, 45829, 68
167, 68, 45897, 69
3743, 42, 45939, 70
4074, 287, 46226, 71
1650, 483, 46709, 72
498, 164, 46873, 73
105, 424, 47297, 74
107, 69, 47366, 75
2839, 452, 47818, 76
344, 823, 48641, 77
134, 643, 49284, 78
3132, 20, 49304, 79
2495, 385, 49689, 80
3731, 1388, 51077, 81
223, 791, 51868, 82
285, 13, 51881, 83
912, 177, 52058, 84
920, 140, 52198, 85
3344, 119, 52317, 86
923, 503, 52820, 87
2940, 16, 52836, 88
1017, 422, 53258, 89
2442, 378, 53636, 90
315, 104, 53740, 91
182, 399, 54139, 92
315, 129, 54268, 93
1008, 1280, 55548, 94
3281, 296, 55844, 95
3536, 63, 55907, 96
3143, 1241, 57148, 97
648, 1636, 58784, 98
55, 362, 59146, 99
20, 1509, 60655, 100
1087, 765, 61420, 101
2619, 736, 62156, 102
3858, 1173, 63329, 103
3441, 71, 63400, 104
2710, 605, 64005, 105
327, 229, 64234, 106
1516, 34, 64268, 107
163, 447, 64715, 108
176, 99, 64814, 109
2340, 661, 65475, 110
1245, 1115, 66590, 111
3513, 247, 66837, 112
104, 105, 66942, 113
276, 246, 67188, 114
2142, 1404, 68592, 115
1275, 846, 69438, 116
15, 280, 69718, 117
3419, 15, 69733, 118
3871, 988, 70721, 119
3923, 170, 70891, 120
1323, 247, 71138, 121
1276, 371, 71509, 122
583, 27, 71536, 123
152, 167, 71703, 124
2670, 607, 72310, 125
2738, 5, 72315, 126
352, 105, 72420, 127
2056, 541, 72961, 128
553, 659, 73620, 129
165, 248, 73868, 130
248, 172, 74040, 131
24, 16, 74056, 132
233, 857, 74913, 133
671, 401, 75314, 134
828, 93, 75407, 135
990, 374, 75781, 136
2577, 293, 76074, 137
690, 184, 76258, 138
1429, 680, 76938, 139
1498, 31, 76969, 140
3947, 173, 77142, 141
294, 248, 77390, 142
1504, 35, 77425, 143
2088, 194, 77619, 144
14, 390, 78009, 145
4039, 1885, 79894, 146
3082, 367, 80261, 147
3676, 234, 80495, 148
75, 158, 80653, 149
161, 77, 80730, 150
2637, 279, 81009, 151
3722, 343, 81352, 152
1155, 33, 81385, 153
302, 2814, 84199, 154
62, 6, 84205, 155
3245, 88, 84293, 156
1132, 297, 84590, 157
2363, 411, 85001, 158
283, 369, 85370, 159
865, 925, 86295, 160
2853, 432, 86727, 161
15, 2395, 89122, 162
2888, 141, 89263, 163
929, 307, 89570, 164
2421, 1211, 90781, 165
2975, 340, 91121, 166
2247, 521, 91642, 167
2715, 27, 91669, 168
199, 370, 92039, 169
3676, 930, 92969, 170
3933, 95, 93064, 171
2502, 888, 93952, 172
1602, 432, 94384, 173
2939, 327, 94711, 174
3053, 83, 94794, 175
308, 841, 95635, 176
271, 622, 96257, 177
3374, 15, 96272, 178
1282, 193, 96465, 179
3821, 2101, 98566, 180
912, 433, 98999, 181
3019, 343, 99342, 182
1291, 541, 99883, 183
193, 1185, 101068, 184
292, 216, 101284, 185
495, 322, 101606, 186
143, 203, 101809, 187
2468, 653, 102462, 188
898, 2228, 104690, 189
2299, 76, 104766, 190
74, 184, 104950, 191
67, 493, 105443, 192
1913, 3161, 108604, 193
3013, 91, 108695, 194
3020, 1357, 110052, 195
436, 516, 110568, 196
2473, 39, 110607, 197
305, 1627, 112234, 198
3674, 293, 112527, 199
1136, 44, 112571, 200
3249, 212, 112783, 201
3638, 277, 113060, 202
3148, 1745, 114805, 203
95, 188, 114993, 204
4053, 182, 115175, 205
2864, 127, 115302, 206
1175, 658, 115960, 207
1049, 1369, 117329, 208
535, 707, 118036, 209
2292, 386, 118422, 210
2717, 1765, 120187, 211
